case_id,run_id,server_id,role,reference_id,teacher_seed,student_seed,profile,updates,block_id,status,source_status
L100I1-T01,L100I1_GF2_T_S3_TS94001_C100_P0_W112_D123_FRESH100K_v2,s3,T,L100I1_R100_S3_TS94001,94001,,C100,100000,L100I1_S3_LOCAL_CHAIN_95001,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-T02,L100I1_GF2_T_S3_TS94001_C100_P0_W112_D123_FRESH50K_v2,s3,T,L100I1_R50_S3_TS94001,94001,,C100,50000,L100I1_S3_LOCAL_CHAIN_95001,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-T03,L100I1_GF2_T_S4_TS94002_C100_P0_W112_D123_FRESH100K_v2,s4,T,L100I1_R100_S4_TS94002,94002,,C100,100000,L100I1_S4_LOCAL_H010_95001,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-T04,L100I1_GF2_T_S5_TS94003_C100_P0_W112_D123_FRESH100K_v2,s5,T,L100I1_R100_S5_TS94003,94003,,C100,100000,L100I1_S5_LOCAL_E1_95001,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S01,L100I1_GF2_S_S3_R50_TS94001_SS95001_BASE_PLH_W104_D122_FRESH50K_v2,s3,S,L100I1_R50_S3_TS94001,94001,95001,BASE,50000,L100I1_S3_LOCAL_CHAIN_95001,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S02,L100I1_GF2_S_S3_R50_TS94001_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,s3,S,L100I1_R50_S3_TS94001,94001,95001,BASE,100000,L100I1_S3_LOCAL_CHAIN_95001,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S03,L100I1_GF2_S_S3_R100_TS94001_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,s3,S,L100I1_R100_S3_TS94001,94001,95001,BASE,100000,L100I1_S3_LOCAL_CHAIN_95001,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S04,L100I1_GF2_S_S3_R100_TS94001_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,s3,S,L100I1_R100_S3_TS94001,94001,95002,BASE,100000,L100I1_S3_LENGTH_95002,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S05,L100I1_GF2_S_S3_R50_TS94001_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,s3,S,L100I1_R50_S3_TS94001,94001,95002,BASE,100000,L100I1_S3_LENGTH_95002,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S06,L100I1_GF2_S_S3_R50_TS94001_SS95002_BASE_PLH_W104_D122_FRESH50K_v2,s3,S,L100I1_R50_S3_TS94001,94001,95002,BASE,50000,L100I1_S3_LENGTH_95002,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S07,L100I1_GF2_S_S4_R100_TS94002_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,s4,S,L100I1_R100_S4_TS94002,94002,95001,BASE,100000,L100I1_S4_LOCAL_H010_95001,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S08,L100I1_GF2_S_S4_R100_TS94002_SS95001_H010_PLH_W104_D122_FRESH100K_v2,s4,S,L100I1_R100_S4_TS94002,94002,95001,H010,100000,L100I1_S4_LOCAL_H010_95001,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S09,L100I1_GF2_S_S4_R100_TS94002_SS95002_H010_PLH_W104_D122_FRESH100K_v2,s4,S,L100I1_R100_S4_TS94002,94002,95002,H010,100000,L100I1_S4_H010_95002,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S10,L100I1_GF2_S_S4_R100_TS94002_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,s4,S,L100I1_R100_S4_TS94002,94002,95002,BASE,100000,L100I1_S4_H010_95002,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S11,L100I1_GF2_S_S5_R100_TS94003_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,s5,S,L100I1_R100_S5_TS94003,94003,95001,BASE,100000,L100I1_S5_LOCAL_E1_95001,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S12,L100I1_GF2_S_S5_R100_TS94003_SS95001_E1_PLH_W104_D122_FRESH100K_v2,s5,S,L100I1_R100_S5_TS94003,94003,95001,E1,100000,L100I1_S5_LOCAL_E1_95001,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S13,L100I1_GF2_S_S5_R100_TS94003_SS95002_E1_PLH_W104_D122_FRESH100K_v2,s5,S,L100I1_R100_S5_TS94003,94003,95002,E1,100000,L100I1_S5_E1_95002,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-S14,L100I1_GF2_S_S5_R100_TS94003_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,s5,S,L100I1_R100_S5_TS94003,94003,95002,BASE,100000,L100I1_S5_E1_95002,PLANNED,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-X01,L100I1_GF2_S_S4_R100_TS94002_SS95001_ARW_PLH_W104_D122_FRESH100K_v2,s4,S,L100I1_R100_S4_TS94002,94002,95001,ARW,100000,L100I1_S4_DEFERRED_ARW,DEFERRED_USER_RELEASE,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-X02,L100I1_GF2_S_S4_R100_TS94002_SS95002_ARW_PLH_W104_D122_FRESH100K_v2,s4,S,L100I1_R100_S4_TS94002,94002,95002,ARW,100000,L100I1_S4_DEFERRED_ARW,DEFERRED_USER_RELEASE,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-X03,L100I1_GF2_S_S5_R100_TS94003_SS95001_E02_PLH_W104_D122_FRESH100K_v2,s5,S,L100I1_R100_S5_TS94003,94003,95001,E02,100000,L100I1_S5_DEFERRED_E02,DEFERRED_USER_RELEASE,MD_DERIVED_MISSING_DESIGN_ASSETS
L100I1-X04,L100I1_GF2_S_S5_R100_TS94003_SS95002_E02_PLH_W104_D122_FRESH100K_v2,s5,S,L100I1_R100_S5_TS94003,94003,95002,E02,100000,L100I1_S5_DEFERRED_E02,DEFERRED_USER_RELEASE,MD_DERIVED_MISSING_DESIGN_ASSETS
