config_path,depends_on,depth,input_layout,kind,order,reservation_hours,role,run_id,seed,server_id,student_seed,teacher_input_layout,teacher_run_id,teacher_seed,tier,width
,[],,,PREFLIGHT,0,,,FH12_S1_PREFLIGHT,,s1,,,,,CORE,
config/FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1.yaml,"[""FH12_S1_PREFLIGHT""]","[1, 2, 3]",P0,TRAIN,10,2.6,T,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,71001,s1,,P0,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,71001,CORE,112
,"[""FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1""]",,,CALIBRATION,20,,,FH12_S1_CALIBRATION,,s1,,,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,,CORE,
config/FH12_S1_S_P0_W104_D121_WV3_TP0_TS71001_SS72001_FRESH50_v1.yaml,"[""FH12_S1_CALIBRATION""]","[1, 2, 1]",P0,TRAIN,30,2.5,S,FH12_S1_S_P0_W104_D121_WV3_TP0_TS71001_SS72001_FRESH50_v1,72001,s1,72001,P0,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,71001,CORE,104
config/FH12_S1_S_PLH_W104_D121_WV3_TP0_TS71001_SS72001_FRESH50_v1.yaml,"[""FH12_S1_CALIBRATION""]","[1, 2, 1]",PLH,TRAIN,40,2.5,S,FH12_S1_S_PLH_W104_D121_WV3_TP0_TS71001_SS72001_FRESH50_v1,72001,s1,72001,P0,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,71001,CORE,104
,[],,,PREFLIGHT,0,,,FH12_S2_PREFLIGHT,,s2,,,,,CORE,
config/FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1.yaml,"[""FH12_S2_PREFLIGHT""]","[1, 2, 3]",PL,TRAIN,10,3.0,T,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,71001,s2,,PL,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,71001,CORE,112
,"[""FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1""]",,,CALIBRATION,20,,,FH12_S2_CALIBRATION,,s2,,,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,,CORE,
config/FH12_S2_S_PL_W104_D121_WV3_TPL_TS71001_SS72001_FRESH50_v1.yaml,"[""FH12_S2_CALIBRATION""]","[1, 2, 1]",PL,TRAIN,30,2.6,S,FH12_S2_S_PL_W104_D121_WV3_TPL_TS71001_SS72001_FRESH50_v1,72001,s2,72001,PL,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,71001,CORE,104
config/FH12_S2_S_P0_W104_D121_WV3_TPL_TS71001_SS72001_FRESH50_v1.yaml,"[""FH12_S2_CALIBRATION""]","[1, 2, 1]",P0,TRAIN,40,2.6,S,FH12_S2_S_P0_W104_D121_WV3_TPL_TS71001_SS72001_FRESH50_v1,72001,s2,72001,PL,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,71001,CORE,104
,[],,,PREFLIGHT,0,,,FH12_S3_PREFLIGHT,,s3,,,,,CORE,
config/FH12_S3_T_PH_W112_D123_WV3_S71001_FRESH50_v1.yaml,"[""FH12_S3_PREFLIGHT""]","[1, 2, 3]",PH,TRAIN,10,1.7,T,FH12_S3_T_PH_W112_D123_WV3_S71001_FRESH50_v1,71001,s3,,PH,FH12_S3_T_PH_W112_D123_WV3_S71001_FRESH50_v1,71001,CORE,112
,"[""FH12_S3_T_PH_W112_D123_WV3_S71001_FRESH50_v1""]",,,CALIBRATION,20,,,FH12_S3_CALIBRATION,,s3,,,FH12_S3_T_PH_W112_D123_WV3_S71001_FRESH50_v1,,CORE,
