server_id,role,tier,block_id,input_layout,width,depth,teacher_alias,teacher_seed,student_seed,profile,run_id,seed,teacher_run_id,teacher_input_layout,config_path,kind,eligible_when
s1,S,CORE,FH20R1_S1_B01,PLH,104,"[1, 2, 2]",F1,71001,73101,BASE,FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73101_BASE_FRESH50_v1,73101,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,P0,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73101_BASE_FRESH50_v1.yaml,TRAIN,ALWAYS
s1,S,CORE,FH20R1_S1_B01,PLH,104,"[1, 2, 2]",F1,71001,73101,A10,FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73101_A10_FRESH50_v1,73101,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,P0,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73101_A10_FRESH50_v1.yaml,TRAIN,S1_A_SUPPORT
s1,S,CORE,FH20R1_S1_B01,PLH,104,"[1, 2, 1]",F1,71001,73101,BASE,FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73101_BASE_FRESH50_v1,73101,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,P0,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73101_BASE_FRESH50_v1.yaml,TRAIN,S1_NO_A_SUPPORT_OR_INCONCLUSIVE
s1,S,CORE,FH20R1_S1_B02,PLH,104,"[1, 2, 2]",F1,71001,73102,BASE,FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73102_BASE_FRESH50_v1,73102,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,P0,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73102_BASE_FRESH50_v1.yaml,TRAIN,ALWAYS
s1,S,CORE,FH20R1_S1_B02,PLH,104,"[1, 2, 2]",F1,71001,73102,A10,FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73102_A10_FRESH50_v1,73102,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,P0,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73102_A10_FRESH50_v1.yaml,TRAIN,S1_A_SUPPORT
s1,S,CORE,FH20R1_S1_B02,PLH,104,"[1, 2, 1]",F1,71001,73102,BASE,FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73102_BASE_FRESH50_v1,73102,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,P0,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73102_BASE_FRESH50_v1.yaml,TRAIN,S1_NO_A_SUPPORT_OR_INCONCLUSIVE
s1,S,CORE,FH20R1_S1_B03,PLH,104,"[1, 2, 2]",F1,71001,73103,BASE,FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73103_BASE_FRESH50_v1,73103,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,P0,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73103_BASE_FRESH50_v1.yaml,TRAIN,ALWAYS
s1,S,CORE,FH20R1_S1_B03,PLH,104,"[1, 2, 2]",F1,71001,73103,A10,FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73103_A10_FRESH50_v1,73103,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,P0,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73103_A10_FRESH50_v1.yaml,TRAIN,S1_A_SUPPORT
s1,S,CORE,FH20R1_S1_B03,PLH,104,"[1, 2, 1]",F1,71001,73103,BASE,FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73103_BASE_FRESH50_v1,73103,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,P0,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73103_BASE_FRESH50_v1.yaml,TRAIN,S1_NO_A_SUPPORT_OR_INCONCLUSIVE
s1,S,CORE,FH20R1_S1_B04,PLH,104,"[1, 2, 2]",F1,71001,73104,BASE,FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73104_BASE_FRESH50_v1,73104,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,P0,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73104_BASE_FRESH50_v1.yaml,TRAIN,ALWAYS
s1,S,CORE,FH20R1_S1_B04,PLH,104,"[1, 2, 2]",F1,71001,73104,A10,FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73104_A10_FRESH50_v1,73104,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,P0,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73104_A10_FRESH50_v1.yaml,TRAIN,S1_A_SUPPORT
