server,cycle,position_in_cycle,seed,code,run_id,local_baseline_run_id,anchor,alpha,beta,lambda_E
s4,0,0,73101,BASE,MAINAHQNR_S4_C000000_SS73101_BASE_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000000_SS73101_BASE_PLH_W104_D122_F1_FRESH50_v1,true,1,0.1,0.002
s4,0,1,73101,AL05,MAINAHQNR_S4_C000000_SS73101_AL05_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000000_SS73101_BASE_PLH_W104_D122_F1_FRESH50_v1,true,0.5,0.1,0.002
s4,0,2,73101,AL15,MAINAHQNR_S4_C000000_SS73101_AL15_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000000_SS73101_BASE_PLH_W104_D122_F1_FRESH50_v1,true,1.5,0.1,0.002
s4,0,3,73101,BE005,MAINAHQNR_S4_C000000_SS73101_BE005_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000000_SS73101_BASE_PLH_W104_D122_F1_FRESH50_v1,true,1,0.05,0.002
s4,0,4,73101,BE020,MAINAHQNR_S4_C000000_SS73101_BE020_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000000_SS73101_BASE_PLH_W104_D122_F1_FRESH50_v1,true,1,0.2,0.002
s4,0,5,73101,ED0006,MAINAHQNR_S4_C000000_SS73101_ED0006_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000000_SS73101_BASE_PLH_W104_D122_F1_FRESH50_v1,true,1,0.1,0.0006
s4,0,6,73101,ED006,MAINAHQNR_S4_C000000_SS73101_ED006_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000000_SS73101_BASE_PLH_W104_D122_F1_FRESH50_v1,true,1,0.1,0.006
s4,1,0,2100000,BASE,MAINAHQNR_S4_C000001_SS2100000_BASE_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000001_SS2100000_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.002
s4,1,1,2100000,BE020,MAINAHQNR_S4_C000001_SS2100000_BE020_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000001_SS2100000_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.2,0.002
s4,1,2,2100000,BE005,MAINAHQNR_S4_C000001_SS2100000_BE005_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000001_SS2100000_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.05,0.002
