run_id,server,sensor,role,reference_id,teacher_seed,student_seed,input,width,depth,profile,tier,block,queue_rank,within_block_order,branch_condition,dependencies,teacher_run_id,updates,baseline_id_preserved,case_id,campaign,sheet_tab,status,contract_path
QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,s1,QB,Teacher,QB_TB,81002,,P0,112,123,BASE,P0_BASELINE,s1_T_BASE,10,1,ALWAYS,"[""LOCAL_READY_s1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,True,QG40-C001,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1.json
QGBASE_QB_S_PLH_W104_D122_TB_TS81002_SS82001_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82001,PLH,104,122,BASE,P0_BASELINE,s1_BASE_01,30,1,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,True,QG40-C002,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QGBASE_QB_S_PLH_W104_D122_TB_TS81002_SS82001_BASE_FRESH50_v1.json
QGBASE_QB_S_PLH_W104_D122_TB_TS81002_SS82002_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82002,PLH,104,122,BASE,P0_BASELINE,s1_BASE_01,30,2,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,True,QG40-C003,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QGBASE_QB_S_PLH_W104_D122_TB_TS81002_SS82002_BASE_FRESH50_v1.json
QGBASE_QB_S_PLH_W104_D122_TA_TS81001_SS82003_BASE_FRESH50_v1,s2,QB,Student,QB_TA,81001,82003,PLH,104,122,BASE,P0_BASELINE,s2_BASE_01,30,1,ALWAYS,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,True,QG40-C015,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QGBASE_QB_S_PLH_W104_D122_TA_TS81001_SS82003_BASE_FRESH50_v1.json
QGBASE_GF2_TA_P0_W112_D123_TS91001_FRESH50_v1,s3,GF2,Teacher,GF2_TA,91001,,P0,112,123,BASE,P0_BASELINE,s3_T_BASE,10,1,ALWAYS,"[""LOCAL_READY_s3""]",QGBASE_GF2_TA_P0_W112_D123_TS91001_FRESH50_v1,50000,True,QG40-C036,PANDA_QG40_20260920_v1,GF2-s3(5090),DEFINED_NOT_DEPLOYED,definitions/QGBASE_GF2_TA_P0_W112_D123_TS91001_FRESH50_v1.json
QGBASE_GF2_S_PLH_W104_D122_TA_TS91001_SS92001_BASE_FRESH50_v1,s3,GF2,Student,GF2_TA,91001,92001,PLH,104,122,BASE,P0_BASELINE,s3_BASE_01,30,1,ALWAYS,"[""LOCAL_READY_s3"", ""QG40_GF2_TA_CAL_v1""]",QGBASE_GF2_TA_P0_W112_D123_TS91001_FRESH50_v1,50000,True,QG40-C037,PANDA_QG40_20260920_v1,GF2-s3(5090),DEFINED_NOT_DEPLOYED,definitions/QGBASE_GF2_S_PLH_W104_D122_TA_TS91001_SS92001_BASE_FRESH50_v1.json
QGBASE_GF2_S_PLH_W104_D122_TA_TS91001_SS92002_BASE_FRESH50_v1,s3,GF2,Student,GF2_TA,91001,92002,PLH,104,122,BASE,P0_BASELINE,s3_BASE_01,30,2,ALWAYS,"[""LOCAL_READY_s3"", ""QG40_GF2_TA_CAL_v1""]",QGBASE_GF2_TA_P0_W112_D123_TS91001_FRESH50_v1,50000,True,QG40-C038,PANDA_QG40_20260920_v1,GF2-s3(5090),DEFINED_NOT_DEPLOYED,definitions/QGBASE_GF2_S_PLH_W104_D122_TA_TS91001_SS92002_BASE_FRESH50_v1.json
QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,s4,QB,Teacher,QB_TA,81001,,P0,112,123,BASE,P0_BASELINE,s4_T_BASE,10,1,ALWAYS,"[""LOCAL_READY_s4""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,True,QG40-C054,PANDA_QG40_20260920_v1,QB-s4,DEFINED_NOT_DEPLOYED,definitions/QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1.json
QGBASE_QB_S_PLH_W104_D122_TA_TS81001_SS82001_BASE_FRESH50_v1,s4,QB,Student,QB_TA,81001,82001,PLH,104,122,BASE,P0_BASELINE,s4_BASE_01,30,1,ALWAYS,"[""LOCAL_READY_s4"", ""QG40_QB_TA_CAL_v1""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,True,QG40-C055,PANDA_QG40_20260920_v1,QB-s4,DEFINED_NOT_DEPLOYED,definitions/QGBASE_QB_S_PLH_W104_D122_TA_TS81001_SS82001_BASE_FRESH50_v1.json
QGBASE_QB_S_PLH_W104_D122_TA_TS81001_SS82002_BASE_FRESH50_v1,s4,QB,Student,QB_TA,81001,82002,PLH,104,122,BASE,P0_BASELINE,s4_BASE_01,30,2,ALWAYS,"[""LOCAL_READY_s4"", ""QG40_QB_TA_CAL_v1""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,True,QG40-C056,PANDA_QG40_20260920_v1,QB-s4,DEFINED_NOT_DEPLOYED,definitions/QGBASE_QB_S_PLH_W104_D122_TA_TS81001_SS82002_BASE_FRESH50_v1.json
QGBASE_GF2_S_PLH_W104_D122_TA_TS91001_SS92003_BASE_FRESH50_v1,s5,GF2,Student,GF2_TA,91001,92003,PLH,104,122,BASE,P0_BASELINE,s5_BASE_01,30,1,ALWAYS,"[""LOCAL_READY_s5"", ""QG40_GF2_TA_IMPORT_s5_v1""]",QGBASE_GF2_TA_P0_W112_D123_TS91001_FRESH50_v1,50000,True,QG40-C069,PANDA_QG40_20260920_v1,GF2-s5,DEFINED_NOT_DEPLOYED,definitions/QGBASE_GF2_S_PLH_W104_D122_TA_TS91001_SS92003_BASE_FRESH50_v1.json
