run_id,server,sensor,role,reference_id,teacher_seed,student_seed,input,width,depth,profile,tier,block,queue_rank,within_block_order,branch_condition,dependencies,teacher_run_id,updates,baseline_id_preserved,case_id,campaign,sheet_tab,status,contract_path
QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,s1,QB,Teacher,QB_TB,81002,,P0,112,123,BASE,P0_BASELINE,s1_T_BASE,10,1,ALWAYS,"[""LOCAL_READY_s1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,True,QG40-C001,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1.json
QGBASE_QB_S_PLH_W104_D122_TB_TS81002_SS82001_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82001,PLH,104,122,BASE,P0_BASELINE,s1_BASE_01,30,1,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,True,QG40-C002,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QGBASE_QB_S_PLH_W104_D122_TB_TS81002_SS82001_BASE_FRESH50_v1.json
QGBASE_QB_S_PLH_W104_D122_TB_TS81002_SS82002_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82002,PLH,104,122,BASE,P0_BASELINE,s1_BASE_01,30,2,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,True,QG40-C003,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QGBASE_QB_S_PLH_W104_D122_TB_TS81002_SS82002_BASE_FRESH50_v1.json
QG40_QB_TB_C3_P0_W112_D123_TS81002_C3_FRESH50_v1,s1,QB,Teacher,QB_TB_C3,81002,,P0,112,123,C3,P2_TEACHER_CONDITIONAL,s1_TC3_PACKAGE,45,1,TC3_ENABLE_s1,"[""LOCAL_READY_s1"", ""TC3_EVIDENCE_s1"", ""QGBASE_QB_S_PLH_W104_D122_TB_TS81002_SS82001_BASE_FRESH50_v1@OFFICIAL_EVAL_COMPLETE"", ""QGBASE_QB_S_PLH_W104_D122_TB_TS81002_SS82002_BASE_FRESH50_v1@OFFICIAL_EVAL_COMPLETE""]",QG40_QB_TB_C3_P0_W112_D123_TS81002_C3_FRESH50_v1,50000,False,QG40-C004,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_TB_C3_P0_W112_D123_TS81002_C3_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_C3_TS81002_SS82001_BASE_FRESH50_v1,s1,QB,Student,QB_TB_C3,81002,82001,PLH,104,122,BASE,P2_TEACHER_CONDITIONAL,s1_TC3_PACKAGE,45,3,TC3_ENABLE_s1,"[""LOCAL_READY_s1"", ""QG40_QB_TB_C3_CAL_v1"", ""BRANCH_RECEIPT_s1"", ""TC3_EVIDENCE_s1""]",QG40_QB_TB_C3_P0_W112_D123_TS81002_C3_FRESH50_v1,50000,False,QG40-C005,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_C3_TS81002_SS82001_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_C3_TS81002_SS82002_BASE_FRESH50_v1,s1,QB,Student,QB_TB_C3,81002,82002,PLH,104,122,BASE,P2_TEACHER_CONDITIONAL,s1_TC3_PACKAGE,45,4,TC3_ENABLE_s1,"[""LOCAL_READY_s1"", ""QG40_QB_TB_C3_CAL_v1"", ""BRANCH_RECEIPT_s1"", ""TC3_EVIDENCE_s1""]",QG40_QB_TB_C3_P0_W112_D123_TS81002_C3_FRESH50_v1,50000,False,QG40-C006,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_C3_TS81002_SS82002_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82004_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82004,PLH,104,122,BASE,P1_FIXED_REPEAT,s1_BASE_02,50,1,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,False,QG40-C007,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82004_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82005_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82005,PLH,104,122,BASE,P1_FIXED_REPEAT,s1_BASE_02,50,2,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,False,QG40-C008,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82005_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82008_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82008,PLH,104,122,BASE,P1_FIXED_REPEAT,s1_BASE_03,70,1,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,False,QG40-C009,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82008_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82009_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82009,PLH,104,122,BASE,P1_FIXED_REPEAT,s1_BASE_03,70,2,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,False,QG40-C010,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82009_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82010_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82010,PLH,104,122,BASE,TIME_RESERVE,s1_RESERVE_01,100,1,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1"", ""RESERVE_ADMISSION_s1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,False,QG40-C011,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82010_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82011_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82011,PLH,104,122,BASE,TIME_RESERVE,s1_RESERVE_01,100,2,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1"", ""RESERVE_ADMISSION_s1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,False,QG40-C012,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82011_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82016_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82016,PLH,104,122,BASE,TIME_RESERVE,s1_RESERVE_02,101,1,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1"", ""RESERVE_ADMISSION_s1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,False,QG40-C013,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82016_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82017_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82017,PLH,104,122,BASE,TIME_RESERVE,s1_RESERVE_02,101,2,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1"", ""RESERVE_ADMISSION_s1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,False,QG40-C014,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82017_BASE_FRESH50_v1.json
QGBASE_QB_S_PLH_W104_D122_TA_TS81001_SS82003_BASE_FRESH50_v1,s2,QB,Student,QB_TA,81001,82003,PLH,104,122,BASE,P0_BASELINE,s2_BASE_01,30,1,ALWAYS,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,True,QG40-C015,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QGBASE_QB_S_PLH_W104_D122_TA_TS81001_SS82003_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_BASE_FRESH50_v1,s2,QB,Student,QB_TA,81001,82006,PLH,104,122,BASE,P1_SCREEN_BASE,s2_SCREEN_82006,50,1,ALWAYS,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C016,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_A24R_FRESH50_v1,s2,QB,Student,QB_TA,81001,82006,PLH,104,122,A24R,P1_SCREEN_ALT,s2_SCREEN_82006,50,2,SCREEN_s2_EQ_A24R,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C017,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_A24R_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_B20_FRESH50_v1,s2,QB,Student,QB_TA,81001,82006,PLH,104,122,B20,P1_SCREEN_ALT,s2_SCREEN_82006,50,2,SCREEN_s2_EQ_B20,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C018,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_B20_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_E10_FRESH50_v1,s2,QB,Student,QB_TA,81001,82006,PLH,104,122,E10,P1_SCREEN_ALT,s2_SCREEN_82006,50,2,SCREEN_s2_EQ_E10,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C019,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_E10_FRESH50_v1.json
