campaign_id,case_id,run_id,server,priority,phase,block_id,parent,reference,model_seed,stream_seed,arm,calibration_family,input_distribution,added_updates,parent_updates,lifetime_student_updates,lr_u,lr_a,warmup_updates,scheduler,alpha,beta,lambda_edge,batch_size,teacher_layout,teacher_width,teacher_depth,student_layout,student_width,student_depth,optimizer_init,student_A_init,depends_on,selection,execution_status,binding_required
PANDA_GF2_P40_S345_20260922_v1,A01,GFP40_GF2_S3_A01_NATIVE0_NATIVE_FT20K_RS98101_v1,s3,PRIMARY,TRANSFER,A_TRANSFER_1,P3HI,R3_100,,98101,NATIVE0,NATIVE,NATIVE,20000,100000,120000,1e-05,3e-07,100,W100_COS20K,1.0,0.1,0.002,48,P0,112,"1,2,3",PLH,104,"1,2,2",NEW_ADAMW_ZERO_MOMENTS_U_AND_A,KEEP_PARENT_STUDENT_A,[],EXACT_FINAL_PRIMARY_RR_VAL_SELECTED_SECONDARY,DESIGN_NOT_STARTED,False
PANDA_GF2_P40_S345_20260922_v1,A02,GFP40_GF2_S3_A02_CTRL_G025_FT20K_RS98101_v1,s3,PRIMARY,TRANSFER,A_TRANSFER_1,P3HI,R3_100,,98101,CTRL,G025,NATIVE,20000,100000,120000,1e-05,3e-07,100,W100_COS20K,1.0,0.1,0.002,48,P0,112,"1,2,3",PLH,104,"1,2,2",NEW_ADAMW_ZERO_MOMENTS_U_AND_A,KEEP_PARENT_STUDENT_A,[],EXACT_FINAL_PRIMARY_RR_VAL_SELECTED_SECONDARY,DESIGN_NOT_STARTED,False
PANDA_GF2_P40_S345_20260922_v1,A03,GFP40_GF2_S3_A03_MIX_G025_FT20K_RS98101_v1,s3,PRIMARY,TRANSFER,A_TRANSFER_1,P3HI,R3_100,,98101,MIX,G025,G025,20000,100000,120000,1e-05,3e-07,100,W100_COS20K,1.0,0.1,0.002,48,P0,112,"1,2,3",PLH,104,"1,2,2",NEW_ADAMW_ZERO_MOMENTS_U_AND_A,KEEP_PARENT_STUDENT_A,[],EXACT_FINAL_PRIMARY_RR_VAL_SELECTED_SECONDARY,DESIGN_NOT_STARTED,False
PANDA_GF2_P40_S345_20260922_v1,A04,GFP40_GF2_S3_A04_MIX_G025_FT20K_RS98102_v1,s3,PRIMARY,TRANSFER,A_TRANSFER_2,P3LO,R3_100,,98102,MIX,G025,G025,20000,100000,120000,1e-05,3e-07,100,W100_COS20K,1.0,0.1,0.002,48,P0,112,"1,2,3",PLH,104,"1,2,2",NEW_ADAMW_ZERO_MOMENTS_U_AND_A,KEEP_PARENT_STUDENT_A,[],EXACT_FINAL_PRIMARY_RR_VAL_SELECTED_SECONDARY,DESIGN_NOT_STARTED,False
PANDA_GF2_P40_S345_20260922_v1,A05,GFP40_GF2_S3_A05_CTRL_G025_FT20K_RS98102_v1,s3,PRIMARY,TRANSFER,A_TRANSFER_2,P3LO,R3_100,,98102,CTRL,G025,NATIVE,20000,100000,120000,1e-05,3e-07,100,W100_COS20K,1.0,0.1,0.002,48,P0,112,"1,2,3",PLH,104,"1,2,2",NEW_ADAMW_ZERO_MOMENTS_U_AND_A,KEEP_PARENT_STUDENT_A,[],EXACT_FINAL_PRIMARY_RR_VAL_SELECTED_SECONDARY,DESIGN_NOT_STARTED,False
PANDA_GF2_P40_S345_20260922_v1,A06,GFP40_GF2_S3_A06_NATIVE0_NATIVE_FT20K_RS98102_v1,s3,PRIMARY,TRANSFER,A_TRANSFER_2,P3LO,R3_100,,98102,NATIVE0,NATIVE,NATIVE,20000,100000,120000,1e-05,3e-07,100,W100_COS20K,1.0,0.1,0.002,48,P0,112,"1,2,3",PLH,104,"1,2,2",NEW_ADAMW_ZERO_MOMENTS_U_AND_A,KEEP_PARENT_STUDENT_A,[],EXACT_FINAL_PRIMARY_RR_VAL_SELECTED_SECONDARY,DESIGN_NOT_STARTED,False
PANDA_GF2_P40_S345_20260922_v1,A07,GFP40_GF2_S3_A07_CTRL_G025_FT60K_RS98101_v1,s3,PRIMARY,LONG60,A_LONG60_1,P3HI,R3_100,,98101,CTRL,G025,NATIVE,60000,100000,160000,1e-05,3e-07,100,W100_COS60K,1.0,0.1,0.002,48,P0,112,"1,2,3",PLH,104,"1,2,2",NEW_ADAMW_ZERO_MOMENTS_U_AND_A,KEEP_PARENT_STUDENT_A,[],EXACT_FINAL_PRIMARY_RR_VAL_SELECTED_SECONDARY,DESIGN_NOT_STARTED,False
PANDA_GF2_P40_S345_20260922_v1,A08,GFP40_GF2_S3_A08_MIX_G025_FT60K_RS98101_v1,s3,PRIMARY,LONG60,A_LONG60_1,P3HI,R3_100,,98101,MIX,G025,G025,60000,100000,160000,1e-05,3e-07,100,W100_COS60K,1.0,0.1,0.002,48,P0,112,"1,2,3",PLH,104,"1,2,2",NEW_ADAMW_ZERO_MOMENTS_U_AND_A,KEEP_PARENT_STUDENT_A,[],EXACT_FINAL_PRIMARY_RR_VAL_SELECTED_SECONDARY,DESIGN_NOT_STARTED,False
PANDA_GF2_P40_S345_20260922_v1,A09,GFP40_GF2_S3_A09_MIX_G025_FT60K_RS98102_v1,s3,PRIMARY,LONG60,A_LONG60_2,P3LO,R3_100,,98102,MIX,G025,G025,60000,100000,160000,1e-05,3e-07,100,W100_COS60K,1.0,0.1,0.002,48,P0,112,"1,2,3",PLH,104,"1,2,2",NEW_ADAMW_ZERO_MOMENTS_U_AND_A,KEEP_PARENT_STUDENT_A,[],EXACT_FINAL_PRIMARY_RR_VAL_SELECTED_SECONDARY,DESIGN_NOT_STARTED,False
PANDA_GF2_P40_S345_20260922_v1,A10,GFP40_GF2_S3_A10_CTRL_G025_FT60K_RS98102_v1,s3,PRIMARY,LONG60,A_LONG60_2,P3LO,R3_100,,98102,CTRL,G025,NATIVE,60000,100000,160000,1e-05,3e-07,100,W100_COS60K,1.0,0.1,0.002,48,P0,112,"1,2,3",PLH,104,"1,2,2",NEW_ADAMW_ZERO_MOMENTS_U_AND_A,KEEP_PARENT_STUDENT_A,[],EXACT_FINAL_PRIMARY_RR_VAL_SELECTED_SECONDARY,DESIGN_NOT_STARTED,False
