step,epoch,kind,bin,n,e_T_mean,e_S_mean,delta_e_T_minus_S,win_rate_vs_teacher,q50,q90,bin_source
1010,5,pixel,Q0-50,655360,0.005855037365108728,0.01134517602622509,-0.005490139126777649,0.09809722751379013,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
1010,5,pixel,Q50-90,524288,0.017983241006731987,0.027384383603930473,-0.009401143528521061,0.2116069793701172,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
1010,5,pixel,Q90-100,131072,0.0472235344350338,0.06355075538158417,-0.01632722094655037,0.288330078125,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
1010,5,pixel,ALL,1310720,0.014843168668448925,0.022981418296694756,-0.00813824962824583,0.16252441704273224,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
1010,5,stat_grad_var_w5,Q0-50,625000,8.278033783426508e-05,0.00022768018243368715,-0.00014489982277154922,0.25104960799217224,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
1010,5,stat_grad_var_w5,Q50-90,500000,0.00048131486983038485,0.0009179356857202947,-0.0004366207285784185,0.10834799706935883,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
1010,5,stat_grad_var_w5,Q90-100,125000,0.0021235141903162003,0.0034515380393713713,-0.0013280241983011365,0.15778400003910065,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
1010,5,stat_grad_var_w5,ALL,1250000,0.00044626754242926836,0.0008261680486612022,-0.0003799005935434252,0.18464240431785583,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
2020,10,pixel,Q0-50,655360,0.005855037365108728,0.009039202705025673,-0.003184165805578232,0.16258850693702698,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
2020,10,pixel,Q50-90,524288,0.017983241006731987,0.02311161532998085,-0.0051283766515553,0.2983570098876953,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
2020,10,pixel,Q90-100,131072,0.0472235344350338,0.0546405129134655,-0.007416973821818829,0.367340087890625,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
2020,10,pixel,ALL,1310720,0.014843168668448925,0.019228298217058182,-0.004385130945593119,0.2373710572719574,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
2020,10,stat_grad_var_w5,Q0-50,625000,8.278033783426508e-05,0.00015753143816255033,-7.475110760424286e-05,0.2879840135574341,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
2020,10,stat_grad_var_w5,Q50-90,500000,0.00048131486983038485,0.0007057277834974229,-0.00022441288456320763,0.1964540034532547,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
2020,10,stat_grad_var_w5,Q90-100,125000,0.0021235141903162003,0.002748186467215419,-0.000624672684352845,0.26312801241874695,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
2020,10,stat_grad_var_w5,ALL,1250000,0.00044626754242926836,0.0006358755636028945,-0.00018960796296596527,0.24888640642166138,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
3030,15,pixel,Q0-50,655360,0.005855037365108728,0.008212817832827568,-0.002357780234888196,0.20355224609375,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
3030,15,pixel,Q50-90,524288,0.017983241006731987,0.022324342280626297,-0.004341102670878172,0.3124561309814453,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
3030,15,pixel,Q90-100,131072,0.0472235344350338,0.05325634777545929,-0.006032809615135193,0.3796539306640625,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
3030,15,pixel,ALL,1310720,0.014843168668448925,0.018361780792474747,-0.003518611891195178,0.2647239565849304,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
3030,15,stat_grad_var_w5,Q0-50,625000,8.278033783426508e-05,0.00012162228813394904,-3.884193938574754e-05,0.3246048092842102,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
3030,15,stat_grad_var_w5,Q50-90,500000,0.00048131486983038485,0.0006293906481005251,-0.00014807576371822506,0.24682599306106567,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
3030,15,stat_grad_var_w5,Q90-100,125000,0.0021235141903162003,0.0026896342169493437,-0.0005661204340867698,0.2608160078525543,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
3030,15,stat_grad_var_w5,ALL,1250000,0.00044626754242926836,0.0005815308541059494,-0.00013526331167668104,0.2871144115924835,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
4040,20,pixel,Q0-50,655360,0.005855037365108728,0.007200638763606548,-0.0013456027954816818,0.30715638399124146,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
4040,20,pixel,Q50-90,524288,0.017983241006731987,0.020441360771656036,-0.0024581216275691986,0.37047386169433594,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
4040,20,pixel,Q90-100,131072,0.0472235344350338,0.051015377044677734,-0.0037918398156762123,0.4134979248046875,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
4040,20,pixel,ALL,1310720,0.014843168668448925,0.01687840186059475,-0.0020352338906377554,0.34311753511428833,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
