relation_id,parent,child,kind,queue_enabled,interpretation
L01,C00,C01,LADDER,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
L02,C01,C02,LADDER,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
L03,C02,C03,LADDER,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
L04,C03,C04,LADDER,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
L05,C04,C05,LADDER,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
L06,C05,C06,LADDER,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
L07,C06,C07,LADDER,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
D08,C08,C07,FULL_MINUS,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
D09,C09,C07,FULL_MINUS,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
D10,C10,C07,FULL_MINUS,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
D11,C11,C07,FULL_MINUS,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
D12,C12,C07,FULL_MINUS,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
D13,C13,C07,FULL_MINUS,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
D14,C14,C07,FULL_MINUS,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
D15,C15,C07,FULL_MINUS,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
D16,C16,C07,FULL_MINUS,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
E00,C00,C07,END_TO_END,True,INHERITED_CONTROLLED_OR_GROUP_COMPARISON
A17,C17,C03,ALIGNMENT_PRIOR_ONLY,True,"Shift-consistency-trained versus unregularized initial A; output Teacher, e, q and edge absent"
A17_SCRATCH,C02,C17,DIAGNOSTIC_ONLY,False,"Unregularized pretrained A versus scratch A; descriptive, not another automatic recheck"
