plan_id,server,sensor,phase,recipe_id,sweep_id,panel_id,role,case_id,run_id,queue_rank,teacher_seed,student_seed,reference_id,teacher_kind,bands,max_dn,input_layout,stored_input_channels,width,depth,num_updates,cosine_total,warmup,batch,u_peak_lr,a_peak_lr,alpha,beta,lambda_edge,lambda_con,seed_group,requires_teacher,requires_calibration,status,extension_id,admission_action,requires_runner_extension,runtime_bound,teacher_run_id,teacher_endpoint_step,anchor_run_id,insert_after_run_id,normalization,rr_q,panmix_enabled,display_label,evidence_role
PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2,s1,WV3,BOOT5,r000,P01,WV3_s1_r000_P01,S,C17,ABLR2_WV3_s1_r000_P01_C17_SS791001_FRESH50,104.5,781001,791001,PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2_WV3_s1_TS781001_TZERO_END50000,TZERO,8,2047,PLH,11,104,"1,2,2",50000,50000,100,48,0.0001,3e-06,0.0,0.0,0.0,,WV3_P01_SS791001_COMMON_U_INIT,True,False,DEFINED_NOT_LAUNCHED,ABLR2X_S123_C17_20260923_v1,APPEND_IF_ABSENT,True,False,ABLR2_WV3_s1_r000_P01_TZERO_TS781001_FRESH50,50000,ABLR2_WV3_s1_r000_P01_C03_SS791001_FRESH50,ABLR2_WV3_s1_r000_P01_C03_SS791001_FRESH50,2*DN/2047-1,Q8,False,P01 | C17 | Initialize the Student Aligner from a Teacher trained without shift consistency,DESIGN_ONLY_NOT_LAUNCHED
PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2,s1,WV3,BOOT5,r000,P02,WV3_s1_r000_P02,S,C17,ABLR2_WV3_s1_r000_P02_C17_SS791002_FRESH50,101.5,781002,791002,PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2_WV3_s1_TS781002_TZERO_END50000,TZERO,8,2047,PLH,11,104,"1,2,2",50000,50000,100,48,0.0001,3e-06,0.0,0.0,0.0,,WV3_P02_SS791002_COMMON_U_INIT,True,False,DEFINED_NOT_LAUNCHED,ABLR2X_S123_C17_20260923_v1,APPEND_IF_ABSENT,True,False,ABLR2_WV3_s1_r000_P02_TZERO_TS781002_FRESH50,50000,ABLR2_WV3_s1_r000_P02_C03_SS791002_FRESH50,ABLR2_WV3_s1_r000_P02_C03_SS791002_FRESH50,2*DN/2047-1,Q8,False,P02 | C17 | Initialize the Student Aligner from a Teacher trained without shift consistency,DESIGN_ONLY_NOT_LAUNCHED
PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2,s1,WV3,BOOT5,r000,P03,WV3_s1_r000_P03,S,C17,ABLR2_WV3_s1_r000_P03_C17_SS791003_FRESH50,113.5,781003,791003,PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2_WV3_s1_TS781003_TZERO_END50000,TZERO,8,2047,PLH,11,104,"1,2,2",50000,50000,100,48,0.0001,3e-06,0.0,0.0,0.0,,WV3_P03_SS791003_COMMON_U_INIT,True,False,DEFINED_NOT_LAUNCHED,ABLR2X_S123_C17_20260923_v1,APPEND_IF_ABSENT,True,False,ABLR2_WV3_s1_r000_P03_TZERO_TS781003_FRESH50,50000,ABLR2_WV3_s1_r000_P03_C03_SS791003_FRESH50,ABLR2_WV3_s1_r000_P03_C03_SS791003_FRESH50,2*DN/2047-1,Q8,False,P03 | C17 | Initialize the Student Aligner from a Teacher trained without shift consistency,DESIGN_ONLY_NOT_LAUNCHED
PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2,s1,WV3,BOOT5,r000,P04,WV3_s1_r000_P04,S,C17,ABLR2_WV3_s1_r000_P04_C17_SS791004_FRESH50,109.5,781004,791004,PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2_WV3_s1_TS781004_TZERO_END50000,TZERO,8,2047,PLH,11,104,"1,2,2",50000,50000,100,48,0.0001,3e-06,0.0,0.0,0.0,,WV3_P04_SS791004_COMMON_U_INIT,True,False,DEFINED_NOT_LAUNCHED,ABLR2X_S123_C17_20260923_v1,APPEND_IF_ABSENT,True,False,ABLR2_WV3_s1_r000_P04_TZERO_TS781004_FRESH50,50000,ABLR2_WV3_s1_r000_P04_C03_SS791004_FRESH50,ABLR2_WV3_s1_r000_P04_C03_SS791004_FRESH50,2*DN/2047-1,Q8,False,P04 | C17 | Initialize the Student Aligner from a Teacher trained without shift consistency,DESIGN_ONLY_NOT_LAUNCHED
PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2,s1,WV3,BOOT5,r000,P05,WV3_s1_r000_P05,S,C17,ABLR2_WV3_s1_r000_P05_C17_SS791005_FRESH50,105.5,781005,791005,PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2_WV3_s1_TS781005_TZERO_END50000,TZERO,8,2047,PLH,11,104,"1,2,2",50000,50000,100,48,0.0001,3e-06,0.0,0.0,0.0,,WV3_P05_SS791005_COMMON_U_INIT,True,False,DEFINED_NOT_LAUNCHED,ABLR2X_S123_C17_20260923_v1,APPEND_IF_ABSENT,True,False,ABLR2_WV3_s1_r000_P05_TZERO_TS781005_FRESH50,50000,ABLR2_WV3_s1_r000_P05_C03_SS791005_FRESH50,ABLR2_WV3_s1_r000_P05_C03_SS791005_FRESH50,2*DN/2047-1,Q8,False,P05 | C17 | Initialize the Student Aligner from a Teacher trained without shift consistency,DESIGN_ONLY_NOT_LAUNCHED
PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2,s2,QB,BOOT5,r000,P01,QB_s2_r000_P01,S,C17,ABLR2_QB_s2_r000_P01_C17_SS891001_FRESH50,104.5,881001,891001,PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2_QB_s2_TS881001_TZERO_END50000,TZERO,4,2047,PLH,7,104,"1,2,2",50000,50000,100,48,0.0001,3e-06,0.0,0.0,0.0,,QB_P01_SS891001_COMMON_U_INIT,True,False,DEFINED_NOT_LAUNCHED,ABLR2X_S123_C17_20260923_v1,APPEND_IF_ABSENT,True,False,ABLR2_QB_s2_r000_P01_TZERO_TS881001_FRESH50,50000,ABLR2_QB_s2_r000_P01_C03_SS891001_FRESH50,ABLR2_QB_s2_r000_P01_C03_SS891001_FRESH50,2*DN/2047-1,Q4,False,P01 | C17 | Initialize the Student Aligner from a Teacher trained without shift consistency,DESIGN_ONLY_NOT_LAUNCHED
PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2,s2,QB,BOOT5,r000,P02,QB_s2_r000_P02,S,C17,ABLR2_QB_s2_r000_P02_C17_SS891002_FRESH50,101.5,881002,891002,PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2_QB_s2_TS881002_TZERO_END50000,TZERO,4,2047,PLH,7,104,"1,2,2",50000,50000,100,48,0.0001,3e-06,0.0,0.0,0.0,,QB_P02_SS891002_COMMON_U_INIT,True,False,DEFINED_NOT_LAUNCHED,ABLR2X_S123_C17_20260923_v1,APPEND_IF_ABSENT,True,False,ABLR2_QB_s2_r000_P02_TZERO_TS881002_FRESH50,50000,ABLR2_QB_s2_r000_P02_C03_SS891002_FRESH50,ABLR2_QB_s2_r000_P02_C03_SS891002_FRESH50,2*DN/2047-1,Q4,False,P02 | C17 | Initialize the Student Aligner from a Teacher trained without shift consistency,DESIGN_ONLY_NOT_LAUNCHED
PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2,s2,QB,BOOT5,r000,P03,QB_s2_r000_P03,S,C17,ABLR2_QB_s2_r000_P03_C17_SS891003_FRESH50,113.5,881003,891003,PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2_QB_s2_TS881003_TZERO_END50000,TZERO,4,2047,PLH,7,104,"1,2,2",50000,50000,100,48,0.0001,3e-06,0.0,0.0,0.0,,QB_P03_SS891003_COMMON_U_INIT,True,False,DEFINED_NOT_LAUNCHED,ABLR2X_S123_C17_20260923_v1,APPEND_IF_ABSENT,True,False,ABLR2_QB_s2_r000_P03_TZERO_TS881003_FRESH50,50000,ABLR2_QB_s2_r000_P03_C03_SS891003_FRESH50,ABLR2_QB_s2_r000_P03_C03_SS891003_FRESH50,2*DN/2047-1,Q4,False,P03 | C17 | Initialize the Student Aligner from a Teacher trained without shift consistency,DESIGN_ONLY_NOT_LAUNCHED
PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2,s2,QB,BOOT5,r000,P04,QB_s2_r000_P04,S,C17,ABLR2_QB_s2_r000_P04_C17_SS891004_FRESH50,109.5,881004,891004,PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2_QB_s2_TS881004_TZERO_END50000,TZERO,4,2047,PLH,7,104,"1,2,2",50000,50000,100,48,0.0001,3e-06,0.0,0.0,0.0,,QB_P04_SS891004_COMMON_U_INIT,True,False,DEFINED_NOT_LAUNCHED,ABLR2X_S123_C17_20260923_v1,APPEND_IF_ABSENT,True,False,ABLR2_QB_s2_r000_P04_TZERO_TS881004_FRESH50,50000,ABLR2_QB_s2_r000_P04_C03_SS891004_FRESH50,ABLR2_QB_s2_r000_P04_C03_SS891004_FRESH50,2*DN/2047-1,Q4,False,P04 | C17 | Initialize the Student Aligner from a Teacher trained without shift consistency,DESIGN_ONLY_NOT_LAUNCHED
PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2,s2,QB,BOOT5,r000,P05,QB_s2_r000_P05,S,C17,ABLR2_QB_s2_r000_P05_C17_SS891005_FRESH50,105.5,881005,891005,PANDA_ABL_S1WV3_S2QB_ADAPTIVE_LOOP_20260921_v2_QB_s2_TS881005_TZERO_END50000,TZERO,4,2047,PLH,7,104,"1,2,2",50000,50000,100,48,0.0001,3e-06,0.0,0.0,0.0,,QB_P05_SS891005_COMMON_U_INIT,True,False,DEFINED_NOT_LAUNCHED,ABLR2X_S123_C17_20260923_v1,APPEND_IF_ABSENT,True,False,ABLR2_QB_s2_r000_P05_TZERO_TS881005_FRESH50,50000,ABLR2_QB_s2_r000_P05_C03_SS891005_FRESH50,ABLR2_QB_s2_r000_P05_C03_SS891005_FRESH50,2*DN/2047-1,Q4,False,P05 | C17 | Initialize the Student Aligner from a Teacher trained without shift consistency,DESIGN_ONLY_NOT_LAUNCHED
