server,position,case_id,axis,value,alpha,beta,lambda_E,q_ref_scale,tau_R_scale,r_A,q_ref,tau_R_used,A_peak_lr,w_at_original_q_median,updates,primary,source_url
s4,0,BASE,baseline,,1.0,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s4,1,AL05,alpha,0.5,0.5,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s4,2,AL15,alpha,1.5,1.5,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s4,3,BE005,beta,0.05,1.0,0.05,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s4,4,BE020,beta,0.2,1.0,0.2,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s4,5,ED0006,lambda_E,0.0006,1.0,0.1,0.0006,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s4,6,ED006,lambda_E,0.006,1.0,0.1,0.006,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s5,0,BASE,baseline,,1.0,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s5,1,QR05,q_ref_scale,0.5,1.0,0.1,0.002,0.5,1.0,0.03,0.1638066708110273,0.012463942170143127,3e-06,0.3333333333333333,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s5,2,QR20,q_ref_scale,2.0,1.0,0.1,0.002,2.0,1.0,0.03,0.6552266832441092,0.012463942170143127,3e-06,0.6666666666666666,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s5,3,TR05,tau_R_scale,0.5,1.0,0.1,0.002,1.0,0.5,0.03,0.3276133416220546,0.006231971085071564,3e-06,0.5,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s5,4,TR20,tau_R_scale,2.0,1.0,0.1,0.002,1.0,2.0,0.03,0.3276133416220546,0.024927884340286255,3e-06,0.5,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s5,5,RA01,r_A,0.01,1.0,0.1,0.002,1.0,1.0,0.01,0.3276133416220546,0.012463942170143127,1.0000000000000002e-06,0.5,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
s5,6,RA06,r_A,0.06,1.0,0.1,0.002,1.0,1.0,0.06,0.3276133416220546,0.012463942170143127,6e-06,0.5,50000,EXACT_50000,https://github.com/hojunking/PAN-Crafter-repro/blob/52184d5578a2a10721e435f8fbf4a759497768e5/config/PAKD50_QRC24_S4_G23_W104_D121_WV3_T0_S1234_FRESH50_v2.yaml
