server,cycle,position,seed,case_id,run_id,baseline_run_id,axis,value,alpha,beta,lambda_E,q_ref_scale,tau_R_scale,r_A,q_ref,tau_R_used,A_peak_lr,w_at_original_q_median,updates,primary,case_spec_sha256
s4,0,0,1234,BASE,SENS_G23_WV3_s4_C000000_BASE_S1234_F50K_v1,SENS_G23_WV3_s4_C000000_BASE_S1234_F50K_v1,baseline,,1.0,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,ed1f3a0fe9feb2f28627498bd213f087711a4f2557b6d2e7bca92ae872725f64
s4,0,1,1234,AL05,SENS_G23_WV3_s4_C000000_AL05_S1234_F50K_v1,SENS_G23_WV3_s4_C000000_BASE_S1234_F50K_v1,alpha,0.5,0.5,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,216f818678f702cdf4195294bab803514e2743b86ae0c0a59e47348347b628e0
s4,0,2,1234,AL15,SENS_G23_WV3_s4_C000000_AL15_S1234_F50K_v1,SENS_G23_WV3_s4_C000000_BASE_S1234_F50K_v1,alpha,1.5,1.5,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,95e67d4299bee32191b3b956a56604f810dd0da6566b3730dcc600d210b1c43e
s4,0,3,1234,BE005,SENS_G23_WV3_s4_C000000_BE005_S1234_F50K_v1,SENS_G23_WV3_s4_C000000_BASE_S1234_F50K_v1,beta,0.05,1.0,0.05,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,0d169544dee4fd231633d9629e81e2413e82c33a4da2b7c99b656bc101e00551
s4,0,4,1234,BE020,SENS_G23_WV3_s4_C000000_BE020_S1234_F50K_v1,SENS_G23_WV3_s4_C000000_BASE_S1234_F50K_v1,beta,0.2,1.0,0.2,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,3dcb6d8cc69a21f17ed1d64bb53486dfd0ea0a1dc81b3c76c4f02a399a01a757
s4,0,5,1234,ED0006,SENS_G23_WV3_s4_C000000_ED0006_S1234_F50K_v1,SENS_G23_WV3_s4_C000000_BASE_S1234_F50K_v1,lambda_E,0.0006,1.0,0.1,0.0006,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,91cc0ceb016314a10572c3dfa01733690b455087c84e61ea79da089f717d8333
s4,0,6,1234,ED006,SENS_G23_WV3_s4_C000000_ED006_S1234_F50K_v1,SENS_G23_WV3_s4_C000000_BASE_S1234_F50K_v1,lambda_E,0.006,1.0,0.1,0.006,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,df2297b2b60d37f93712dedf17dc4781ebcdf5b33146a280579c0da09f2323be
s5,0,0,1234,BASE,SENS_G23_WV3_s5_C000000_BASE_S1234_F50K_v1,SENS_G23_WV3_s5_C000000_BASE_S1234_F50K_v1,baseline,,1.0,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,2ad43eebc4b27c862e1d4f70561151bb8daf6e9f263828db489597272b02a549
s5,0,1,1234,QR05,SENS_G23_WV3_s5_C000000_QR05_S1234_F50K_v1,SENS_G23_WV3_s5_C000000_BASE_S1234_F50K_v1,q_ref_scale,0.5,1.0,0.1,0.002,0.5,1.0,0.03,0.1638066708110273,0.012463942170143127,3e-06,0.3333333333333333,50000,EXACT_50000,26cb0fe5ab5f41741ad1ac856a60058f424253b231292a62422d789b6c356a8f
s5,0,2,1234,QR20,SENS_G23_WV3_s5_C000000_QR20_S1234_F50K_v1,SENS_G23_WV3_s5_C000000_BASE_S1234_F50K_v1,q_ref_scale,2.0,1.0,0.1,0.002,2.0,1.0,0.03,0.6552266832441092,0.012463942170143127,3e-06,0.6666666666666666,50000,EXACT_50000,e5509292cc7713d755fc8e1aed373fde86c6720058cd8970d5ff9b81605c2ba4
