case_id,run_id,server,stage,block_id,queue_rank,parent_id,parent_run_id,parent_step,parent_model_sha256,reference_key,teacher_seed,teacher_updates,init_mode,model_seed,stream_seed,profile,alpha_target,beta_target,lambda_edge_target,coefficient_ramp_updates,input_views,calibration,train_updates,lifetime_student_updates,u_peak_lr,a_peak_lr,warmup_updates,scheduler,optimizer_state_at_fork,batch_size,num_bands,max_dn,student_width,student_depth,student_input,gradient_route,official_selection,dependencies,auto_default,status,test_aware
A01,GFB20_GF2_S3_A01_BASE_FT20K_SEED96301_v1,s3,CORE,A_HI,10,P3HI,L100I1_GF2_S_S3_R100_TS94001_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,100000,df488d2c4a1282906b775287197e9cd97bd91d4765c42308b7ece2436b86e3ce,R3_100,94001,100000,PARENT_STUDENT_U_AND_A_WEIGHTS,,96301,BASE,1.0,0.1,0.002,0,NATIVE,NATIVE,20000,120000,1e-05,3e-07,100,FT20_COS_W100,RESET_BOTH_U_A,48,4,1023,104,"1,2,2",PLH,U=hard+soft+q_edge;A=q_hard,EXACT_FINAL;RR_VAL_SELECTED,,True,DEFINED_NOT_LAUNCHED,True
A02,GFB20_GF2_S3_A02_H010_FT20K_SEED96301_v1,s3,CORE,A_HI,11,P3HI,L100I1_GF2_S_S3_R100_TS94001_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,100000,df488d2c4a1282906b775287197e9cd97bd91d4765c42308b7ece2436b86e3ce,R3_100,94001,100000,PARENT_STUDENT_U_AND_A_WEIGHTS,,96301,H010,0.1,0.1,0.002,0,NATIVE,NATIVE,20000,120000,1e-05,3e-07,100,FT20_COS_W100,RESET_BOTH_U_A,48,4,1023,104,"1,2,2",PLH,U=hard+soft+q_edge;A=q_hard,EXACT_FINAL;RR_VAL_SELECTED,,True,DEFINED_NOT_LAUNCHED,True
A03,GFB20_GF2_S3_A03_H010_FT20K_SEED96302_v1,s3,CORE,A_OLD,20,P3OLD,QGBASE_GF2_S_PLH_W104_D122_TA_TS91001_SS92001_BASE_FRESH50_v1,50000,,R3_TA50,91001,50000,PARENT_STUDENT_U_AND_A_WEIGHTS,,96302,H010,0.1,0.1,0.002,0,NATIVE,NATIVE,20000,70000,1e-05,3e-07,100,FT20_COS_W100,RESET_BOTH_U_A,48,4,1023,104,"1,2,2",PLH,U=hard+soft+q_edge;A=q_hard,EXACT_FINAL;RR_VAL_SELECTED,,True,DEFINED_NOT_LAUNCHED,True
A04,GFB20_GF2_S3_A04_BASE_FT20K_SEED96302_v1,s3,CORE,A_OLD,21,P3OLD,QGBASE_GF2_S_PLH_W104_D122_TA_TS91001_SS92001_BASE_FRESH50_v1,50000,,R3_TA50,91001,50000,PARENT_STUDENT_U_AND_A_WEIGHTS,,96302,BASE,1.0,0.1,0.002,0,NATIVE,NATIVE,20000,70000,1e-05,3e-07,100,FT20_COS_W100,RESET_BOTH_U_A,48,4,1023,104,"1,2,2",PLH,U=hard+soft+q_edge;A=q_hard,EXACT_FINAL;RR_VAL_SELECTED,,True,DEFINED_NOT_LAUNCHED,True
A05,GFB20_GF2_S3_A05_BASE_FT20K_SEED96303_v1,s3,CORE,A_LO,30,P3LO,L100I1_GF2_S_S3_R100_TS94001_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,100000,be4db0943e4a021ff011d4b3b7e566b7eb6bf1a99e2a12d73408eccda799be9f,R3_100,94001,100000,PARENT_STUDENT_U_AND_A_WEIGHTS,,96303,BASE,1.0,0.1,0.002,0,NATIVE,NATIVE,20000,120000,1e-05,3e-07,100,FT20_COS_W100,RESET_BOTH_U_A,48,4,1023,104,"1,2,2",PLH,U=hard+soft+q_edge;A=q_hard,EXACT_FINAL;RR_VAL_SELECTED,,True,DEFINED_NOT_LAUNCHED,True
A06,GFB20_GF2_S3_A06_H010_FT20K_SEED96303_v1,s3,CORE,A_LO,31,P3LO,L100I1_GF2_S_S3_R100_TS94001_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,100000,be4db0943e4a021ff011d4b3b7e566b7eb6bf1a99e2a12d73408eccda799be9f,R3_100,94001,100000,PARENT_STUDENT_U_AND_A_WEIGHTS,,96303,H010,0.1,0.1,0.002,0,NATIVE,NATIVE,20000,120000,1e-05,3e-07,100,FT20_COS_W100,RESET_BOTH_U_A,48,4,1023,104,"1,2,2",PLH,U=hard+soft+q_edge;A=q_hard,EXACT_FINAL;RR_VAL_SELECTED,,True,DEFINED_NOT_LAUNCHED,True
B01,GFB20_GF2_S4_B01_BASE_FT20K_SEED96401_v1,s4,CORE,B_PANEL1,10,P4B,L100I1_GF2_S_S4_R100_TS94002_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,100000,7b3a739cb537799dd30fecf96a7a59215cc3c0b516f1a726d3cc7eff1869ba73,R4_100,94002,100000,PARENT_STUDENT_U_AND_A_WEIGHTS,,96401,BASE,1.0,0.1,0.002,0,NATIVE,NATIVE,20000,120000,1e-05,3e-07,100,FT20_COS_W100,RESET_BOTH_U_A,48,4,1023,104,"1,2,2",PLH,U=hard+soft+q_edge;A=q_hard,EXACT_FINAL;RR_VAL_SELECTED,,True,DEFINED_NOT_LAUNCHED,True
B02,GFB20_GF2_S4_B02_K1_FT20K_SEED96401_v1,s4,CORE,B_PANEL1,11,P4B,L100I1_GF2_S_S4_R100_TS94002_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,100000,7b3a739cb537799dd30fecf96a7a59215cc3c0b516f1a726d3cc7eff1869ba73,R4_100,94002,100000,PARENT_STUDENT_U_AND_A_WEIGHTS,,96401,K1,1.0,1.0,0.002,1000,NATIVE,NATIVE,20000,120000,1e-05,3e-07,100,FT20_COS_W100,RESET_BOTH_U_A,48,4,1023,104,"1,2,2",PLH,U=hard+soft+q_edge;A=q_hard,EXACT_FINAL;RR_VAL_SELECTED,,True,DEFINED_NOT_LAUNCHED,True
B03,GFB20_GF2_S4_B03_E100_FT20K_SEED96401_v1,s4,CORE,B_PANEL1,12,P4B,L100I1_GF2_S_S4_R100_TS94002_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,100000,7b3a739cb537799dd30fecf96a7a59215cc3c0b516f1a726d3cc7eff1869ba73,R4_100,94002,100000,PARENT_STUDENT_U_AND_A_WEIGHTS,,96401,E100,1.0,0.1,0.1,1000,NATIVE,NATIVE,20000,120000,1e-05,3e-07,100,FT20_COS_W100,RESET_BOTH_U_A,48,4,1023,104,"1,2,2",PLH,U=hard+soft+q_edge;A=q_hard,EXACT_FINAL;RR_VAL_SELECTED,,True,DEFINED_NOT_LAUNCHED,True
B04,GFB20_GF2_S4_B04_E100_FT20K_SEED96402_v1,s4,CORE,B_PANEL2,20,P4A,L100I1_GF2_S_S4_R100_TS94002_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,100000,6f2458ccad0100ec977521d9ae545e134bce23f1964f57dd61a7fce657bc3fd8,R4_100,94002,100000,PARENT_STUDENT_U_AND_A_WEIGHTS,,96402,E100,1.0,0.1,0.1,1000,NATIVE,NATIVE,20000,120000,1e-05,3e-07,100,FT20_COS_W100,RESET_BOTH_U_A,48,4,1023,104,"1,2,2",PLH,U=hard+soft+q_edge;A=q_hard,EXACT_FINAL;RR_VAL_SELECTED,,True,DEFINED_NOT_LAUNCHED,True
