comparison,selection,base_run,alt_run,base_cell,alt_cell,delta_H,delta_E,relative_E_percent,delta_Dl,delta_Ds
Student50to100,EXACT_FINAL,L100I1_GF2_S_S3_R50_TS94001_SS95001_BASE_PLH_W104_D122_FRESH50K_v2,L100I1_GF2_S_S3_R50_TS94001_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,GF2-s3(5090)!34,GF2-s3(5090)!35,-0.002617718273143277,-0.007428453977046279,-1.3245993162628533,0.00045264873704247213,0.0022231006184864448
Student50to100,RR_VAL_SELECTED,L100I1_GF2_S_S3_R50_TS94001_SS95001_BASE_PLH_W104_D122_FRESH50K_v2,L100I1_GF2_S_S3_R50_TS94001_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,GF2-s3(5090)!34,GF2-s3(5090)!35,-0.002612308080995218,-0.007257581083901066,-1.2942982610296139,0.00046190059228829947,0.002208359439211355
Teacher50to100,EXACT_FINAL,L100I1_GF2_S_S3_R50_TS94001_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,L100I1_GF2_S_S3_R100_TS94001_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,GF2-s3(5090)!35,GF2-s3(5090)!36,-0.0036419621644977473,-0.0020506362702926717,-0.3705662183662639,2.1574662177670234e-05,0.003703194330138184
Teacher50to100,RR_VAL_SELECTED,L100I1_GF2_S_S3_R50_TS94001_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,L100I1_GF2_S_S3_R100_TS94001_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,GF2-s3(5090)!35,GF2-s3(5090)!36,-0.0036440470118165313,-0.002052728245418689,-0.3708785265217118,2.1785148645731e-05,0.0037051734777054438
Teacher50to100,MID50_OF100,L100I1_GF2_S_S3_R50_TS94001_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,L100I1_GF2_S_S3_R100_TS94001_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,GF2-s3(5090)!35,GF2-s3(5090)!36,-0.0009383737206594134,0.00044708877000221303,0.07787762996118719,-0.0006351388685012054,0.001591849333687334
H010_SS95001,EXACT_FINAL,L100I1_GF2_S_S4_R100_TS94002_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,L100I1_GF2_S_S4_R100_TS94002_SS95001_H010_PLH_W104_D122_FRESH100K_v2,GF2-s4!14,GF2-s4!15,0.00017628273392944482,-0.008420064550807793,-1.523429916386232,-0.0008147882645695992,0.0006279440497991215
H010_SS95001,RR_VAL_SELECTED,L100I1_GF2_S_S4_R100_TS94002_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,L100I1_GF2_S_S4_R100_TS94002_SS95001_H010_PLH_W104_D122_FRESH100K_v2,GF2-s4!14,GF2-s4!15,0.00016758695466234652,-0.008475347079120565,-1.5333301837203717,-0.000816235466585824,0.0006382748406608928
H010_SS95001,MID50_OF100,L100I1_GF2_S_S4_R100_TS94002_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,L100I1_GF2_S_S4_R100_TS94002_SS95001_H010_PLH_W104_D122_FRESH100K_v2,GF2-s4!14,GF2-s4!15,-0.0033442315203165984,-0.012441802426117032,-2.173612985183515,-0.0008082894798923101,0.004210798807778006
H010_SS95002,EXACT_FINAL,L100I1_GF2_S_S4_R100_TS94002_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,L100I1_GF2_S_S4_R100_TS94002_SS95002_H010_PLH_W104_D122_FRESH100K_v2,GF2-s4!17,GF2-s4!16,-0.007604248668622748,-0.0019745402267662415,-0.36015733281784534,-0.00010476669627217453,0.007857149806140926
H010_SS95002,RR_VAL_SELECTED,L100I1_GF2_S_S4_R100_TS94002_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,L100I1_GF2_S_S4_R100_TS94002_SS95002_H010_PLH_W104_D122_FRESH100K_v2,GF2-s4!17,GF2-s4!16,-0.007625962556195964,-0.002047698498100825,-0.37352153620564543,-0.00010288835541670191,0.0078774730175982
