campaign,case_id,tier,server,role,reference,teacher_seed,student_seed,profile,updates,lambda_con,alpha,beta,lambda_edge,student_a_peak_lr,dependency,status,run_id,activation,architecture_contract
PANDA_GF2_G20_ALL5_20260920_v1,G20-T01,CORE,s1,T,R1,91002,,C100,50000,0.0001,,,,,P0_PASS,PLANNED,G20_GF2_T_S1_TS91002_C100_P0_W112_D123_FRESH50_v1,P0_PASS_AND_FULL_REFERENCE_STUDENT_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-T02,CORE,s2,T,R2,91002,,C100,50000,0.0001,,,,,P0_PASS,PLANNED,G20_GF2_T_S2_TS91002_C100_P0_W112_D123_FRESH50_v1,P0_PASS_AND_FULL_REFERENCE_STUDENT_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-T03,CORE,s2,T,R3,91002,,C030,50000,3e-05,,,,,P0_PASS,PLANNED,G20_GF2_T_S2_TS91002_C030_P0_W112_D123_FRESH50_v1,P0_PASS_AND_FULL_REFERENCE_STUDENT_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-T04,CORE,s2,T,R4,91002,,C300,50000,0.0003,,,,,P0_PASS,PLANNED,G20_GF2_T_S2_TS91002_C300_P0_W112_D123_FRESH50_v1,P0_PASS_AND_FULL_REFERENCE_STUDENT_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S01,CORE,s1,S,R0,91001,93001,BASE,50000,0.0001,1.0,0.1,0.002,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S1_R0_TS91001_SS93001_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S02,CORE,s1,S,R1,91002,93001,BASE,50000,0.0001,1.0,0.1,0.002,3e-06,R1_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S1_R1_TS91002_SS93001_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S03,CORE,s1,S,R1,91002,93002,BASE,50000,0.0001,1.0,0.1,0.002,3e-06,R1_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S1_R1_TS91002_SS93002_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S04,CORE,s1,S,R0,91001,93002,BASE,50000,0.0001,1.0,0.1,0.002,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S1_R0_TS91001_SS93002_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S05,CORE,s2,S,R2,91002,93001,BASE,50000,0.0001,1.0,0.1,0.002,3e-06,R2_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S2_R2_TS91002_SS93001_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S06,CORE,s2,S,R3,91002,93001,BASE,50000,3e-05,1.0,0.1,0.002,3e-06,R3_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S2_R3_TS91002_SS93001_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
