case_id,kind,role,server,tier,eligible_when,block_ids,layout,input_channels,width,depth,teacher_ref_alias,teacher_seed,student_seed,profile,total_updates,teacher_run_id,teacher_checkpoint_sha256,lr_U_peak,lr_A_peak,A_multiplier_after_10000,alpha,beta,lambda_E,planned_config_path,status
FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73101_BASE_FRESH50_v1,TRAIN,S,s1,CORE,S1_NO_A_SUPPORT_OR_INCONCLUSIVE,"[""FH20R1_S1_B01""]",PLH,11,104,"[1, 2, 1]",F1,71001,73101,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73101_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73102_BASE_FRESH50_v1,TRAIN,S,s1,CORE,S1_NO_A_SUPPORT_OR_INCONCLUSIVE,"[""FH20R1_S1_B02""]",PLH,11,104,"[1, 2, 1]",F1,71001,73102,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73102_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73103_BASE_FRESH50_v1,TRAIN,S,s1,CORE,S1_NO_A_SUPPORT_OR_INCONCLUSIVE,"[""FH20R1_S1_B03""]",PLH,11,104,"[1, 2, 1]",F1,71001,73103,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73103_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73104_BASE_FRESH50_v1,TRAIN,S,s1,CORE,S1_NO_A_SUPPORT_OR_INCONCLUSIVE,"[""FH20R1_S1_B04""]",PLH,11,104,"[1, 2, 1]",F1,71001,73104,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73104_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73105_BASE_FRESH50_v1,TRAIN,S,s1,CORE,S1_NO_A_SUPPORT_OR_INCONCLUSIVE,"[""FH20R1_S1_B05""]",PLH,11,104,"[1, 2, 1]",F1,71001,73105,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73105_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73106_BASE_FRESH50_v1,TRAIN,S,s1,CORE,S1_NO_A_SUPPORT_OR_INCONCLUSIVE,"[""FH20R1_S1_B06""]",PLH,11,104,"[1, 2, 1]",F1,71001,73106,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73106_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73107_BASE_FRESH50_v1,TRAIN,S,s1,CORE,S1_NO_A_SUPPORT_OR_INCONCLUSIVE,"[""FH20R1_S1_B07""]",PLH,11,104,"[1, 2, 1]",F1,71001,73107,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73107_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73101_A10_FRESH50_v1,TRAIN,S,s1,CORE,S1_A_SUPPORT,"[""FH20R1_S1_B01""]",PLH,11,104,"[1, 2, 2]",F1,71001,73101,A10,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,0.3333333333333333,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73101_A10_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73101_BASE_FRESH50_v1,TRAIN,S,s1,CORE,ALWAYS,"[""FH20R1_S1_B01""]",PLH,11,104,"[1, 2, 2]",F1,71001,73101,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73101_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73102_A10_FRESH50_v1,TRAIN,S,s1,CORE,S1_A_SUPPORT,"[""FH20R1_S1_B02""]",PLH,11,104,"[1, 2, 2]",F1,71001,73102,A10,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,0.3333333333333333,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73102_A10_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
