order,name,axes,group,slot,sample_id,source_group_id,e_native_roi,q_A,pan_scharr_energy,file
1,Consistent - low recon error,q low  /  e low,EdCd,1,7910,blk247,0.007687,0.308169,0.008523,01_EdCd_1_id7910.png
2,Consistent - low recon error,q low  /  e low,EdCd,2,5613,blk175,0.007775,0.307392,0.000751,02_EdCd_2_id5613.png
3,Consistent - low recon error,q low  /  e low,EdCd,3,6566,blk205,0.007574,0.308442,0.001303,03_EdCd_3_id6566.png
4,Consistent - low recon error,q low  /  e low,EdCd,4,8780,blk274,0.007582,0.307033,0.00397,04_EdCd_4_id8780.png
5,Consistent - high recon error,q low  /  e high,EuCd,1,8751,blk273,0.030087,0.307817,0.015559,05_EuCd_1_id8751.png
6,Consistent - high recon error,q low  /  e high,EuCd,2,1781,blk055,0.029918,0.307742,0.012348,06_EuCd_2_id1781.png
7,Consistent - high recon error,q low  /  e high,EuCd,3,5679,blk177,0.029429,0.307656,0.009215,07_EuCd_3_id5679.png
8,Consistent - high recon error,q low  /  e high,EuCd,4,3863,blk120,0.029305,0.307889,0.022922,08_EuCd_4_id3863.png
9,Inconsistent - low recon error,q high  /  e low,EdCu,1,430,blk013,0.006114,0.356488,1.8e-05,09_EdCu_1_id430.png
10,Inconsistent - low recon error,q high  /  e low,EdCu,2,1586,blk049,0.00581,0.354158,0.000633,10_EdCu_2_id1586.png
11,Inconsistent - low recon error,q high  /  e low,EdCu,3,324,blk010,0.006279,0.352283,0.000269,11_EdCu_3_id324.png
12,Inconsistent - low recon error,q high  /  e low,EdCu,4,4891,blk152,0.006108,0.349596,0.00014,12_EdCu_4_id4891.png
13,Inconsistent - high recon error,q high  /  e high,EuCu,1,213,blk006,0.031706,0.354621,0.003611,13_EuCu_1_id213.png
14,Inconsistent - high recon error,q high  /  e high,EuCu,2,3544,blk110,0.032106,0.354638,0.003326,14_EuCu_2_id3544.png
15,Inconsistent - high recon error,q high  /  e high,EuCu,3,5708,blk178,0.032125,0.354754,0.003127,15_EuCu_3_id5708.png
16,Inconsistent - high recon error,q high  /  e high,EuCu,4,1573,blk049,0.03112,0.354903,0.003094,16_EuCu_4_id1573.png
